source path	audit output path	tracked or untracked	file type	byte size	SHA-256	binary or text	generated or authored	assigned subagent	completion state	review state
.env	audit/.env.txt	untracked	environment	[REDACTED]	[REDACTED-ENV-FILE-HASH]	text	authored or hand-maintained	lead-coordinator	complete	redacted sensitive-env review complete
.env.example	audit/.env.example.txt	tracked	environment	2149	89ba61be175933d485efb6de2339e5528c41257a0c405b7df026925282f729cd	text	authored or hand-maintained	lead-coordinator	complete	lead static review complete
.github/FUNDING.yml	audit/.github/FUNDING.yml.txt	tracked	configuration	60	8aa14ac9aa438dbf2383b5b9c24d3eadcdeb580968890a0ba593b43f0286fe5c	text	authored or hand-maintained	documentation-ci-agent	complete	lead static review complete
.github/ISSUE_TEMPLATE/bug_report.md	audit/.github/ISSUE_TEMPLATE/bug_report.md.txt	tracked	markdown	862	ef4633675ba90422b5592a46a33ed12c0676f3da10a10e6f00fb76c051c1d450	text	authored or hand-maintained	documentation-ci-agent	complete	lead static review complete
.github/ISSUE_TEMPLATE/feature_request.md	audit/.github/ISSUE_TEMPLATE/feature_request.md.txt	tracked	markdown	679	36e57939a6e46d57bc5bea31351d152f276b7edebf957d71f13cac59af076083	text	authored or hand-maintained	documentation-ci-agent	complete	lead static review complete
.github/PULL_REQUEST_TEMPLATE.md	audit/.github/PULL_REQUEST_TEMPLATE.md.txt	tracked	markdown	873	fdfcac4bce21c5951a2b2ec6928d575b2cd56ae1abab70c0cff4266041f1dc25	text	authored or hand-maintained	documentation-ci-agent	complete	lead static review complete
.github/codeql/codeql-config.yml	audit/.github/codeql/codeql-config.yml.txt	tracked	configuration	173	e442135091171b4747e90fc68a0287f80946840bcb5dc48941c6a67d3d5b30ab	text	authored or hand-maintained	documentation-ci-agent	complete	lead static review complete
.github/labeler.yml	audit/.github/labeler.yml.txt	tracked	configuration	1129	08069cac13baeb704e78d85d65fb3661e0338b432e490434081f4aa552fb6102	text	authored or hand-maintained	documentation-ci-agent	complete	lead static review complete
.github/workflows/auto-label.yml	audit/.github/workflows/auto-label.yml.txt	tracked	configuration	479	26aa17167549da51b26b7ceb4a80846e239559baf67230a714d8bec5a2d80e60	text	authored or hand-maintained	documentation-ci-agent	complete	lead static review complete
.github/workflows/ci.yml	audit/.github/workflows/ci.yml.txt	tracked	configuration	14479	236817812c4e3d60a3edf88d384de71d9b85cd7c2b2e59245214b1033dedeadf	text	authored or hand-maintained	documentation-ci-agent	complete	lead static review complete
